697	7	5.671508	3.059326	2.565398	3.244453	-3.257805	-17.841992	5.391864	0.520425	3.001829	-3.532494	5.671508	3.059326	-3.284407	-2.638013	5.394605	0.480773	1.812884	1.745866	3.412410	0.401762	5.671508	3.059326	-3.342142	-2.480724	5.318107	0.159769	1.915905	1.343221	3.637435	-0.052901	5.671508	3.059326	-3.397478	-2.708389	5.370532	0.777391	1.800999	1.919993	3.359762	0.921629	5.671508	3.059326	-3.286089	-2.530047	5.357409	0.215567	1.876050	1.453833	3.559324	-0.015164	5.671508	3.059326	-3.580815	-2.762087	5.297177	1.057382	1.828329	1.965032	3.507232	1.502028	5.671508	3.059326	-3.717779	-2.346832	5.134145	0.230695	2.027392	1.210730	3.956390	0.636859
1342	7	5.179858	2.039529	2.701116	-1.197101	-0.099732	-2.236573	2.734010	1.869123	0.886139	2.282249	5.179858	2.039529	2.631629	-1.262813	-0.139567	-0.981224	2.511254	2.117323	1.141224	2.654070	5.179858	2.039529	2.581235	-1.256072	-0.022651	-1.127443	2.423755	2.092794	0.908023	2.410677	5.179858	2.039529	2.910344	-1.155321	-0.360694	-1.806305	3.176658	1.897221	1.267469	2.529866	5.179858	2.039529	2.796782	-1.164498	-0.179633	-2.570831	2.941057	1.789331	0.946306	2.301340	5.179858	2.039529	2.754520	-1.228357	-0.269149	-1.215866	2.807170	2.045628	1.287991	2.674929	5.179858	2.039529	2.842714	-1.191306	-0.332607	-1.473980	3.020602	1.976216	1.308580	2.617881
1400	7	4.992471	3.019028	1.861904	0.826592	-5.530712	0.700950	5.093807	2.266803	2.752107	1.127851	4.992471	3.019028	2.230968	2.771682	-6.490813	-2.886681	4.134560	2.326177	1.171331	-0.469289	4.992471	3.019028	-6.768379	-2.384295	4.865938	10.980858	-0.380951	4.614748	4.260368	2.052294	4.992471	3.019028	2.185527	0.245388	-6.425506	0.185767	4.397420	2.308073	1.386372	0.033933	4.992471	3.019028	2.116061	-0.225365	-6.283185	0.731371	4.252354	2.316533	1.287315	0.712831	4.992471	3.019028	1.998198	0.894084	-5.973967	0.435578	5.003917	2.268595	2.385990	0.752830	4.992471	3.019028	2.039940	0.864159	-6.105166	0.332690	4.947465	2.272899	2.231351	0.594339
1528	7	5.129328	5.264481	-1.322174	0.044840	0.137704	-0.564611	1.159291	3.577887	1.110064	2.143920	5.129328	5.264481	-1.558341	0.061441	0.268531	-0.535854	1.433493	3.645886	0.922823	1.351253	5.129328	5.264481	-1.346835	0.034180	0.274499	-0.435284	0.884007	3.645270	1.155108	2.412091	5.129328	5.264481	-1.401717	0.059345	0.058142	-0.716573	1.506045	3.532857	0.995419	1.584965	5.129328	5.264481	-1.564876	0.029801	0.593501	-0.078055	0.770776	3.788898	1.125379	2.436012	5.129328	5.264481	-3.600760	-6.661649	4.808407	3.456564	-3.796160	4.758176	1.382573	4.177208	5.129328	5.264481	-1.621404	0.053101	0.476457	-0.254665	1.176713	3.747259	0.968259	1.659906
2339	7	5.308242	4.025041	1.735755	1.305825	-8.846994	-1.422562	2.845978	2.774570	0.371416	2.463110	5.308242	4.025041	1.684574	1.302207	-8.831207	-1.282715	2.635320	2.816841	0.031001	2.428450	5.308242	4.025041	-4.773695	-6.431106	1.295197	6.081772	2.799881	6.617596	3.316738	4.904145	5.308242	4.025041	1.664048	1.267104	-8.843102	-1.026759	2.630507	2.856345	0.860584	3.107467	5.308242	4.025041	1.776074	1.297187	-8.854450	-1.337657	2.985511	2.760099	0.858560	2.761502	5.308242	4.025041	1.644284	1.283551	-8.830894	-1.092966	2.461419	2.862364	0.138096	2.767516	5.308242	4.025041	1.760152	1.283480	-8.852070	-1.186919	2.952311	2.785979	1.113917	3.010846
2678	7	4.516365	3.865617	-0.410595	0.808629	-0.681216	-1.142180	4.830715	4.054154	1.602815	0.984565	4.516365	3.865617	-0.197416	0.732391	-0.721291	-0.774502	4.800861	4.217046	1.706864	1.043208	4.516365	3.865617	-5.603000	-7.914670	2.620363	5.481602	4.536420	4.598115	3.647989	4.309041	4.516365	3.865617	-0.292325	0.771967	-0.750104	-0.895116	4.822223	4.139517	1.657320	1.010891	4.516365	3.865617	-0.457685	0.508116	0.028907	-0.507048	4.699612	4.355831	1.584720	1.025309	4.516365	3.865617	-0.051017	0.650497	-0.589481	-0.668159	4.760080	4.325928	1.793013	1.117789	4.516365	3.865617	0.304946	0.274359	-0.046645	-0.522065	4.662054	4.531004	2.064885	1.500421
5700	7	5.432885	4.776328	-7.359839	-8.636469	5.565664	8.266812	-1.080978	3.567985	4.045504	4.075345	5.432885	4.776328	0.409002	-3.073085	0.274678	-1.972612	2.972598	2.794900	2.436345	2.026970	5.432885	4.776328	0.469927	-2.730496	0.273231	-2.530091	3.022677	2.697400	2.020005	1.813057	5.432885	4.776328	0.404789	-2.879234	0.281691	-2.039262	2.762054	2.943858	2.095840	1.950685	5.432885	4.776328	0.423635	-3.206872	0.266116	-2.071643	3.253980	2.505546	2.669878	2.034899	5.432885	4.776328	0.458202	-2.604051	0.277593	-2.571814	2.807685	2.878454	1.754884	1.760869	5.432885	4.776328	0.458820	-2.942197	0.268739	-2.380504	3.222054	2.494722	2.344910	1.899450
6691	7	3.780355	1.080544	-0.159398	-0.944292	-0.213162	-4.434073	0.325666	-0.000741	0.701822	2.079662	3.780355	1.080544	-0.295623	-1.221172	-0.078684	-5.151420	0.494705	-0.384015	0.373781	1.166094	3.780355	1.080544	-7.603821	-9.975986	4.925882	10.132747	-4.960102	5.510737	0.989238	2.713004	3.780355	1.080544	-0.572386	-1.545076	0.745319	-4.168500	-0.013493	0.786856	0.325383	1.024388	3.780355	1.080544	-0.644159	-1.570203	1.012141	-3.137819	-0.317799	1.586359	0.572989	2.086139	3.780355	1.080544	-0.272157	-0.994750	0.261553	-3.141390	-0.149380	0.996312	0.968363	2.669650	3.780355	1.080544	-0.610462	-1.427957	1.043231	-2.498825	-0.501590	1.986945	0.829320	2.481265
6902	7	5.511581	2.890758	-6.561528	-9.449053	3.605004	3.334439	-6.428063	0.680225	2.325288	3.066582	5.511581	2.890758	-0.676587	1.447524	-3.776683	-1.625403	-0.858996	-1.560805	2.280592	3.044104	5.511581	2.890758	0.055056	0.694670	-3.943082	-3.212594	-1.329768	-1.078190	1.287084	2.347808	5.511581	2.890758	-0.902199	0.519772	-2.481111	-1.538388	-1.676950	-0.574076	1.983691	2.952191	5.511581	2.890758	-0.329845	0.469316	-3.200862	-2.274012	-1.555602	-0.541629	1.403624	2.656740	5.511581	2.890758	0.466803	1.382289	-4.483675	-3.654145	-0.763739	-2.146475	2.018849	2.745536	5.511581	2.890758	0.425802	1.153311	-4.457747	-3.929673	-0.944511	-1.941477	1.759753	2.510839
7425	7	3.632634	3.965276	-3.232441	-5.334412	2.550545	9.112054	1.731564	6.975889	2.775111	3.259460	3.632634	3.965276	2.432665	-1.216637	-2.734370	-0.643742	2.770805	3.210060	-0.710677	2.084084	3.632634	3.965276	2.239376	-1.343087	-2.558810	-0.361296	2.752083	3.234178	-0.560676	2.342889	3.632634	3.965276	2.372169	-1.168728	-2.502902	-0.162084	2.740135	3.239902	0.805625	2.670086	3.632634	3.965276	2.790018	-0.663827	-3.048956	-0.690160	2.807760	3.168734	0.309272	2.245858	3.632634	3.965276	2.824183	-0.263301	-2.782143	-0.424296	2.807141	3.178692	1.237236	2.588454	3.632634	3.965276	2.618264	-0.669102	-2.578021	-0.263862	2.762293	3.214868	1.244156	2.687653
