664	5	-1.5688	-4.8798	-8.5423	-6.0421	-6.7502	-10.644	-2.1707	-6.2895	-5.6317	-4.0177	-1.5688	-4.8798	-7.148	-5.8983	-7.2753	-12.69	-2.1213	-6.4051	-5.258	-4.1009	-1.5688	-4.8798	-7.462	-5.9039	-7.7705	-14.664	-2.1319	-6.3908	-5.881	-4.3434	-1.5688	-4.8798	-8.5122	-6.0518	-6.7888	-10.558	-2.1677	-6.292	-6.0072	-4.1691	-1.5688	-4.8798	-7.111	-5.8751	-7.6094	-14.138	-2.1169	-6.4243	-5.5362	-4.227
1551	5	-1.4331	-4.1586	-3.1451	-2.6482	-9.2631	-13.192	-0.26794	-2.8682	-5.2286	-3.1196	-1.4331	-4.1586	-3.3478	-2.4424	-9.7722	-13.327	-0.42812	-2.8533	-5.5268	-3.4725	-1.4331	-4.1586	-3.7215	-2.7598	-8.613	-12.824	-0.59601	-2.8183	-5.4302	-3.0901	-1.4331	-4.1586	-3.6685	-2.5489	-9.1426	-12.995	-0.60554	-2.8228	-5.586	-3.3433	-1.4331	-4.1586	-3.4096	-2.8745	-8.7541	-12.922	-0.3985	-2.8425	-5.2269	-2.9709
2531	5	-1.2174	-3.0679	-11.794	-15.203	2.9847	0.17035	-7.1696	-3.2362	-0.37638	-2.4191	-1.2174	-3.0679	0.10101	-3.1646	-5.3962	-12.163	-5.2897	-1.9209	-1.5452	-4.1496	-1.2174	-3.0679	0.12873	-2.9174	-5.41	-12.877	-4.6428	-2.1866	-1.2737	-4.1208	-1.2174	-3.0679	0.11115	-2.9196	-5.4079	-12.262	-4.6623	-2.1712	-1.1518	-3.3739	-1.2174	-3.0679	0.087783	-3.1596	-5.3945	-11.835	-5.2958	-1.9139	-1.4578	-3.4723
2721	5	-1.8695	-0.73922	-14.816	-4.3068	-7.9776	-8.674	-2.7642	-7.7633	-2.1803	-5.6435	-1.8695	-0.73922	-15.053	-4.5114	-7.9858	-8.3978	-2.8149	-7.7166	-2.0021	-5.2463	-1.8695	-0.73922	-14.732	-4.3696	-7.996	-8.527	-2.7207	-7.843	-1.9797	-5.3555	-1.8695	-0.73922	-15.385	-4.5155	-7.9627	-8.4601	-2.9241	-7.5768	-2.2511	-5.5072	-1.8695	-0.73922	-15.067	-4.3572	-7.9663	-8.6715	-2.8491	-7.6508	-2.2938	-5.7527
3976	5	-1.9538	-2.8672	-2.5251	-1.9406	-9.6447	-15.169	-2.2569	-6.9732	-1.9426	0.15257	-1.9538	-2.8672	-2.5406	-1.9571	-9.5485	-13.679	-2.2636	-6.2442	-1.9279	0.56488	-1.9538	-2.8672	-2.5505	-1.9539	-9.1793	-13.863	-2.2836	-6.1975	-1.9398	0.36044	-1.9538	-2.8672	-2.5041	-1.9439	-10.506	-14.458	-2.2207	-7.0941	-1.9266	0.47277	-1.9538	-2.8672	-2.5134	-1.9402	-10.06	-14.997	-2.2401	-7.167	-1.9364	0.26384
4883	5	-3.8333	-4.3414	-13.068	-10.672	-3.0731	3.6464	-5.014	-1.6448	-4.7707	-2.7652	-3.8333	-4.3414	-7.0448	-4.4693	-9.1464	-5.2078	0.86104	-3.3003	-5.0342	-2.8782	-3.8333	-4.3414	-7.1787	-4.6856	-9.722	-4.3393	-0.33384	-3.4248	-5.2599	-2.8282	-3.8333	-4.3414	-4.8543	-2.8099	-10.668	-9.0125	-0.12874	-3.4655	-5.7401	-3.7435	-3.8333	-4.3414	-5.1649	-3.0823	-10.65	-9.3078	-1.3098	-3.4834	-6.1528	-4.0252
5768	5	3.3251	-3.1041	-16.992	-13.91	2.1592	-2.4398	-6.4058	-2.4714	-4.7482	-7.3327	3.3251	-3.1041	-4.5829	-1.9502	-7.0399	-13.358	0.031936	-5.165	-4.7775	-8.6684	3.3251	-3.1041	-4.6139	-1.9429	-7.0288	-13.38	0.016988	-4.8809	-5.0426	-9.3321	3.3251	-3.1041	-4.6162	-1.9641	-7.0285	-12.918	0.019777	-4.8755	-4.7842	-8.5007	3.3251	-3.1041	-4.5902	-1.9347	-7.0341	-13.59	0.027321	-5.0765	-4.9338	-9.2395
6700	5	-0.81324	-1.5793	-5.6416	-6.4914	-11.605	-9.8673	-9.4323	-5.9391	-5.0477	-6.6821	-0.81324	-1.5793	-5.7591	-6.4847	-11.563	-9.3858	-8.7127	-5.8759	-4.2133	-5.9325	-0.81324	-1.5793	-5.8022	-6.7539	-11.396	-9.122	-9.7622	-5.855	-4.7827	-6.0572	-0.81324	-1.5793	-11.572	-14.676	-0.056876	-0.76386	-9.2101	-2.1281	-1.7601	-4.4038	-0.81324	-1.5793	-5.6024	-6.2422	-11.79	-9.9285	-8.3823	-5.938	-4.5052	-6.3103
7669	5	-2.3972	-4.3028	-11.675	-14.846	-2.8133	-3.4234	-3.2931	0.71992	-1.3331	-2.2768	-2.3972	-4.3028	-2.4141	-6.3107	-9.9378	-12.66	0.23046	-1.8968	-2.0834	-4.2771	-2.3972	-4.3028	-2.3791	-6.3061	-10.027	-12.724	0.43378	-2.0868	-1.9384	-4.2018	-2.3972	-4.3028	-2.3683	-6.3076	-9.9644	-12.779	0.38019	-2.0746	-2.0188	-4.3606	-2.3972	-4.3028	-2.424	-6.3087	-10.013	-12.605	0.31508	-1.9255	-1.9767	-4.0927
7811	5	-2.672	-3.0698	-6.2872	-3.3509	-8.5812	-16.021	-0.86385	-4.5346	-3.7599	-4.9044	-2.672	-3.0698	-11.18	-8.6824	1.7993	-9.4905	-1.2252	0.70127	-2.2321	-3.4708	-2.672	-3.0698	-11.553	-8.6828	2.4937	-9.3434	-1.6788	0.75272	-2.7569	-4.3179	-2.672	-3.0698	-11.913	-8.685	2.609	-7.8407	-2.1447	0.84028	-3.1492	-3.5388	-2.672	-3.0698	-11.904	-8.6864	1.6127	-7.7734	-1.9093	0.82506	-2.1726	-2.0039
