25	3	5.321322	3.198026	-2.713695	-7.520218	5.203486	3.468181	2.143656	5.912660	3.618076	4.294738	5.321322	3.198026	3.432137	-1.395951	0.941521	-0.046547	-0.075271	3.851747	2.365161	3.512588	5.321322	3.198026	3.522897	3.208427	-4.975965	-4.898208	0.628831	1.406662	2.342720	3.506127
76	3	5.196818	3.606566	-6.766812	-4.407337	5.157677	4.303217	3.229048	5.344246	4.389138	3.560855	5.196818	3.606566	0.795389	-3.016486	0.752130	0.763823	4.962122	4.561393	4.389115	3.195744	5.196818	3.606566	2.041233	2.376478	-2.653252	-5.279583	7.623110	2.426422	4.365116	1.277040
79	3	5.029272	3.860592	-11.170713	-2.679360	1.480088	8.089962	2.284625	3.521202	4.597809	4.312849	5.029272	3.860592	-7.033877	1.164706	-3.999765	2.565381	4.113295	3.451800	4.597802	4.312449	5.029272	3.860592	-1.988210	5.256480	-0.984914	-0.941017	4.026654	3.893051	4.359398	2.527261
101	3	5.196552	2.396531	-10.253925	-3.663242	1.966682	3.969373	-1.211989	1.651398	3.587108	6.504458	5.196552	2.396531	-3.880181	3.408096	-2.024593	-2.193692	3.076999	1.665418	3.443043	1.846306	5.196552	2.396531	2.117773	3.418829	-5.846191	-10.920355	4.446278	1.668704	3.439586	1.839560
183	3	4.267224	3.627216	-9.133869	-6.218537	5.077236	8.599541	3.588816	6.749082	3.440003	3.545370	4.267224	3.627216	1.537747	4.344738	-2.642605	-4.999775	6.506022	1.079428	3.111303	-0.588988	4.267224	3.627216	-2.787551	3.417216	0.067331	0.574649	6.155070	1.314156	3.111340	0.692311
219	3	5.596952	1.698756	0.118818	-4.954539	0.575726	3.873480	3.566442	-2.292627	2.786559	1.856891	5.596952	1.698756	0.389103	3.570990	-5.501750	0.382372	5.394092	-3.800700	2.764146	1.309132	5.596952	1.698756	-3.327451	-8.203845	5.339775	10.323327	0.602770	2.564882	2.796392	1.951000
271	3	4.530601	1.813295	1.111180	4.758249	-4.080599	-5.524998	2.957036	-0.592792	2.399199	1.010780	4.530601	1.813295	-4.627978	5.145903	1.474509	1.416050	0.892943	2.733767	3.320167	2.921803	4.530601	1.813295	-7.658795	-4.220575	6.825429	7.691376	-1.349065	3.232794	3.334629	2.929699
340	3	2.863079	1.148012	-10.506291	-3.506464	5.580017	4.025272	3.681190	3.914013	3.987732	4.171936	2.863079	1.148012	-7.059951	2.277842	4.377956	0.645353	3.618868	4.552268	3.739090	2.553254	2.863079	1.148012	0.122728	6.427279	-2.200578	-7.978487	4.849077	-0.179967	3.703524	2.455026
368	3	5.637056	3.919386	-3.454777	-8.278263	4.082105	6.143809	3.827583	5.793661	3.512875	4.676889	5.637056	3.919386	4.001676	-3.563119	2.033574	-1.501926	5.150569	5.636231	3.493489	4.368680	5.637056	3.919386	7.130739	2.361255	-3.757136	-4.829692	6.077593	1.010977	3.392824	3.694364
407	3	5.835921	2.745846	4.022995	5.754646	-3.746054	-0.956283	1.508360	-1.523806	2.854358	3.295362	5.835921	2.745846	-6.630849	-5.148749	5.051885	6.038492	-4.209388	3.632812	3.128338	5.191250	5.835921	2.745846	-4.940080	0.045495	1.569842	4.988928	-2.867851	3.552448	3.128333	5.190956
