28	9	0.91596	-5.6106	-13.479	-16.664	0.75855	-0.76942	-9.6589	-0.11576	-4.6369	-6.0572	0.91596	0.80807	-18.392	-22.838	0.75855	-0.76731	-9.6589	-0.11576	-4.6369	-6.0572	-3.196	-10.34	-13.479	-16.664	0.75855	-0.76942	-9.6589	-0.11576	-4.6369	-6.0572	0.91596	-5.6106	-11.917	-16.399	-0.77026	-1.6488	-5.5637	-0.11576	-3.6038	-2.5129	0.91596	-5.6106	-8.8358	-11.612	-0.77071	-1.7429	-4.1985	-0.28408	-0.75138	-2.5129	-3.196	-10.34	-11.917	-16.399	-0.77026	-1.6488	-5.5637	-0.11576	-3.6038	-2.5129	0.91596	0.80807	-16.83	-22.573	-0.77026	-1.6463	-5.5637	-0.11576	-3.6038	-2.5129	0.91596	0.80807	-13.749	-17.786	-0.77026	-1.6747	-4.1986	-0.28408	-0.75138	-2.5129	-3.196	-10.34	-8.8358	-11.612	-0.77071	-1.7429	-4.1985	-0.28408	-0.75138	-2.5129
76	9	-6.9488	-8.3544	-0.37858	-1.661	-4.4959	-14.289	-1.8524	-4.7331	-0.39703	-9.3427	-1.3151	1.6186	-8.2051	-7.1285	-3.6077	-9.9471	-1.4214	-4.7888	1.1069	-0.078006	-1.3151	1.6186	-4.9129	-7.0778	-5.3056	-10.963	-1.2886	-4.7888	1.1069	-1.4095	-1.3151	1.6186	-5.0636	-7.0726	-5.0968	-10.836	-1.3217	-4.7888	1.1068	-1.6103	-1.3151	1.6186	-4.8546	-7.0862	-5.4483	-10.893	-1.2662	-4.7888	1.1069	-1.09	-1.3151	1.6186	-5.457	-7.1205	-5.2857	-9.9189	-1.3414	-4.7888	1.1069	-0.047422	-1.3151	1.6186	-4.966	-7.0753	-5.2223	-10.936	-1.3021	-4.7888	1.1069	-1.5098	-1.3151	1.6186	-4.8619	-7.0913	-5.4813	-10.804	-1.2631	-4.7888	1.1069	-0.91011	-1.3151	1.6186	-5.8218	-7.0945	-4.987	-9.7489	-1.3827	-4.7888	1.1068	-0.49261
80	9	-3.7826	0.54313	-20.196	-20.808	-0.063626	-1.2228	-10.457	2.4156	-9.9129	-7.0826	-3.7826	-5.7186	-15.995	-17.82	-0.063626	-1.2228	-10.457	2.4156	-9.9129	-7.0826	-3.7826	-5.7186	-4.1201	-5.4297	-15.292	-23.735	-6.1094	-4.3354	-4.2998	-2.2853	-3.7826	0.54313	-13.562	-16.914	-4.7569	-7.0582	-7.4973	1.9694	-4.2704	-0.84649	-3.7826	-5.7186	-5.4822	-5.9985	-11.855	-20.553	-6.1302	-2.5473	-9.9131	-8.4983	-3.7826	0.54313	-4.2663	-3.5024	-15.284	-27.303	0.33998	-9.1685	-0.2002	-2.2853	-3.7826	-5.7186	-0.065755	-0.51457	-15.304	-27.308	0.34001	-9.1685	-0.2002	-2.2853	-3.7826	-5.7186	-7.9133	-15.822	-4.1036	-10.168	-7.9073	1.9701	-4.2712	-1.3272	-3.7826	0.54313	-8.2155	-9.3664	-2.7953	-18.394	-2.3712	-2.841	-0.20019	-2.2853
161	9	0.87686	-4.6708	-3.047	-3.9268	-16.429	-23.587	-1.8047	-4.9154	-3.141	-2.4205	-5.3432	-8.3042	-2.1878	-3.9267	-17.824	-24.316	-1.8047	-4.9154	-3.141	-2.4205	0.87686	1.9173	-6.3279	-11.528	-8.4424	-12.26	-1.4311	-4.1344	-2.8483	-2.2064	-5.3432	-8.3042	-2.4206	-3.9277	-12.999	-17.085	-2.1831	-4.9002	-3.4075	-8.2803	0.87686	1.9173	-6.6771	-12.317	-8.3323	-11.265	-1.5831	-3.2654	-2.9513	-2.0632	0.87686	1.9173	-6.4062	-12.229	-7.9635	-11.888	-1.5286	-3.051	-2.9513	-2.3423	0.87686	1.9173	-6.3233	-11.95	-8.0628	-12.345	-1.4785	-3.4287	-2.9144	-2.3345	0.87686	1.9173	-6.5762	-11.74	-8.6402	-11.615	-1.5024	-3.974	-2.8617	-2.0292	0.87686	-4.6708	-3.2799	-3.9399	-11.339	-16.104	-2.1831	-4.8998	-3.4075	-8.2803
589	9	-3.7398	-3.4739	-10.527	-12.319	-0.35768	1.7652	-6.0155	-2.7719	-1.1911	-7.9477	1.8414	1.5155	-12.064	-18.499	-0.12765	1.7821	-6.0177	-2.7719	-1.1911	-7.9477	-3.7398	-3.4739	-0.28208	0.79752	-12.795	-18.56	-0.24171	-8.6674	-1.1998	-14.407	1.8414	1.5155	-1.819	-5.3823	-10.808	-17.217	-0.24812	-8.6674	-1.1998	-14.407	-3.7398	-3.4739	-9.5604	-11.587	-5.925	-2.8628	-2.5057	-3.7455	0.40597	-1.8082	1.8414	1.5155	-5.7397	-11.79	-10.839	-9.0215	-0.23409	-9.5972	0.39574	-3.007	1.8414	1.5155	-11.786	-18.295	-5.5601	-2.4603	-3.0553	-3.7115	0.40597	-1.8082	-3.7398	-9.4142	2.0222	0.80129	-12.795	-19.763	-0.24171	-8.6674	-1.1998	-14.407	-3.7398	-9.4142	-8.2228	-12.315	-0.36033	1.6673	-6.0154	-2.7719	-1.1911	-7.9477
668	9	4.4368	-6.3723	-18.178	-14.305	-0.47368	0.95951	-10.785	-1.9566	-7.22	-5.2342	4.4368	-6.3723	-13.931	-11.713	-0.48738	-0.66524	-5.9826	-4.9859	-1.1553	-5.2342	4.4368	-0.13667	-19.762	-15.509	-0.47213	0.96015	-10.785	-1.9566	-7.22	-5.2342	4.4368	-6.3723	-17.509	-13.494	-4.1782	-5.515	-10.757	-1.9878	-6.12	0.44604	4.4368	-0.13667	-15.514	-12.917	-0.4781	-0.65314	-5.9826	-4.9859	-1.1553	-5.2342	4.4368	-0.13667	-12.63	-12.615	-4.1808	-7.4903	-5.8811	-5.4537	-0.051289	0.43044	4.4368	-6.3723	-10.89	-11.325	-4.1941	-7.5891	-5.8801	-5.4546	-0.051419	0.42685	4.4368	-0.13667	-19.093	-14.698	-4.1754	-5.5139	-10.757	-1.9877	-6.12	0.44604	4.4368	-6.3723	-3.1088	-5.6017	-7.743	-10.168	-2.8971	-6.4504	-1.764	-7.1319
794	9	-5.9335	-8.552	-6.9564	-11.507	-7.5291	-3.7979	-4.6794	-3.3804	-6.1637	-1.1103	0.109	-3.7721	-6.9596	-11.917	-7.523	-3.7929	-4.6794	-3.3652	-6.1636	-1.1099	0.109	2.0593	-11.427	-14.767	-3.5162	-6.9153	-1.3481	-3.5196	0.30472	-1.7205	0.109	2.0593	-14.617	-19.927	-4.8168	-2.9201	-4.9218	0.69397	-6.1557	-1.0569	0.109	2.0593	-11.371	-14.757	-3.6339	-6.9216	-1.1033	-3.5203	0.30956	-1.6933	0.109	2.0593	-11.922	-14.765	-4.5877	-4.9656	0.27393	-3.5243	0.35309	-1.1952	0.109	2.0593	-12.01	-14.868	-3.2173	-5.0725	-2.4911	-3.5167	0.28748	-1.5664	0.109	2.0593	-12.722	-14.966	-4.1218	-3.8942	-1.8348	-3.5167	0.3251	-1.1686	0.109	2.0593	-12.167	-14.842	-4.5336	-4.6573	-0.01838	-3.522	0.34931	-1.1656
1076	9	-5.9933	-5.3523	-15.189	-18.491	-1.4133	-1.6669	-10.369	0.22134	-4.9691	-5.3735	-0.093966	2.5655	-17.222	-23.915	-1.4133	-1.6669	-10.369	0.22134	-4.9691	-5.3735	-0.093966	2.5655	-11.603	-22.088	-4.1653	-6.4374	-6.1701	-0.039674	-1.827	1.0184	-0.093966	-3.1117	-9.5699	-16.664	-4.1653	-6.4375	-6.1701	-0.039685	-1.827	1.0184	-5.9933	-5.3523	-9.5699	-16.664	-4.1653	-6.4375	-6.1701	-0.039685	-1.827	1.0184	-0.093966	-3.1117	-15.189	-18.491	-1.4133	-1.6669	-10.369	0.22134	-4.9691	-5.3735	-0.093966	2.5655	-9.2618	-16.524	-4.1552	-8.1334	-3.6459	-4.9691	1.679	1.0056	-5.9933	-5.3523	-7.0822	-10.941	-4.1744	-8.2345	-3.6416	-4.9784	1.6787	1.0025	-0.093966	-3.1117	-7.0822	-10.941	-4.1744	-8.2345	-3.6416	-4.9784	1.6787	1.0025
1100	9	-5.6536	-11.955	-13.155	-15.676	0.26508	-2.368	-11.054	-1.7669	-10.549	-6.7043	-5.6536	-11.955	-2.8347	-3.319	-11.812	-14.112	-4.8867	-7.9898	-12.541	-12.142	-5.6536	-11.955	-10.248	-15.614	-3.7351	-7.8517	-11.053	-1.7862	-6.7061	-0.08824	0.24235	0.42867	-17.03	-22.272	0.26508	-2.368	-11.054	-1.7669	-10.549	-6.7043	0.24235	-5.7151	-13.455	-15.676	0.26508	-2.368	-11.054	-1.7669	-10.549	-6.7043	0.24235	0.42867	-14.133	-22.211	-3.7351	-7.8447	-11.053	-1.7862	-6.7061	-0.088228	0.24235	-5.7151	-3.135	-3.342	-11.581	-14.012	-4.8867	-7.8781	-12.541	-12.142	0.24235	-5.7151	-10.555	-15.615	-3.7351	-7.8471	-11.053	-1.7862	-6.7061	-0.088232	-5.6536	-11.955	-3.1288	-7.1056	-7.8327	-10.084	-5.3387	-3.0057	-6.8965	-0.93703
1225	9	-6.0539	-7.749	-3.3364	-0.4231	-12.319	-20.079	0.034521	-8.9787	1.7657	-14.759	-0.15349	1.5706	-5.3691	-2.7439	-10.704	-19.709	0.033559	-8.9787	1.7657	-14.759	-0.15349	1.5706	-10.588	-2.7634	-8.7353	-10.412	-5.5165	-5.2361	-1.1789	-13.135	-6.0539	-7.7489	-15.618	-11.094	-2.0124	-2.46	-5.9182	-2.8725	1.785	-9.7261	-6.0539	-7.749	-8.5341	-0.43	-9.0706	-11.303	-5.4889	-5.2433	-1.1801	-14.049	-6.0539	-7.749	-21.005	-11.187	-2.0021	1.2744	-11.381	0.79266	-1.153	-9.7257	-0.15349	1.5706	-17.668	-13.419	-1.9893	-2.4208	-5.9183	-2.8725	1.785	-9.7261	-0.15349	1.5706	-13.489	-12.199	-4.1975	-4.6979	-5.754	-2.9329	2.4455	-3.2903	-0.15349	1.5706	-23.041	-13.508	-1.9884	1.3088	-11.381	0.79266	-1.153	-9.7257
