11	6	6.852595	5.023435	-12.117843	-11.688806	2.414751	2.382140	-2.979068	5.140078	-1.272889	8.185793	6.852595	-1.343053	-7.053936	-7.510212	2.415150	2.371353	-2.979336	5.140078	-1.272889	8.183747	6.852595	-1.343053	-1.348450	2.874473	-4.329273	-3.202848	-0.433334	-1.173561	-7.449782	-3.360198	2.850036	-4.798386	-1.348389	2.874474	-4.329355	-3.202974	-0.433330	-1.173569	-7.449782	-3.360168	2.850036	-4.798386	-7.053875	-7.510195	2.415150	2.371353	-2.979336	5.140078	-1.272889	8.183747	6.852595	5.023435	-4.481299	-6.873974	3.737681	0.060002	2.639614	-0.027521	5.192226	5.085681
22	6	3.579987	-2.864616	-9.565633	-8.294941	5.072677	6.112037	-4.455402	8.713523	0.150827	4.949946	3.579987	3.277904	-11.316134	-8.302325	5.072676	6.112218	-4.455401	8.713523	0.150827	4.949947	3.579987	-2.864581	3.314138	3.366643	-2.919486	-3.438654	-2.833170	2.689124	-6.337114	-4.979058	3.579987	3.277905	1.553368	3.347179	-2.918001	-1.759558	-2.833170	2.689129	-6.337114	-4.554322	3.579987	3.277906	-7.599901	-5.171783	5.075809	5.716473	1.251491	5.702708	5.417601	4.947117	3.579987	-2.864649	-5.849381	-5.163679	5.075827	5.714517	1.251490	5.702720	5.417594	4.947099
57	6	1.376159	6.518273	-11.203653	-13.490463	6.264339	10.341398	-5.185672	6.847817	-4.625066	-0.532152	7.811534	9.250044	-9.847163	-11.565541	1.578295	4.838722	-2.043142	6.372286	-1.505673	5.395046	7.811534	9.250044	-12.403745	-15.003464	6.264339	10.341398	-5.185672	6.847817	-4.625066	-0.532152	1.376159	6.518273	-5.147060	-4.217044	1.576819	4.708305	1.755261	3.497957	5.100133	5.395039	1.376159	6.518273	-8.647057	-10.052538	1.578290	4.838722	-2.043126	6.372284	-1.505673	5.395046	7.811534	9.250044	-6.351115	-5.730750	1.578142	4.708561	1.750706	3.498339	5.100133	5.395039
61	6	-1.852634	-2.492603	-3.724192	-6.048254	7.797259	11.154949	2.253924	4.343081	3.323430	-2.890429	-1.852634	2.653549	-8.099190	-12.983483	7.797309	11.472614	1.706535	6.614378	-2.783564	-2.890184	-1.852634	-2.492603	-8.097927	-12.153330	7.797309	11.472614	1.706535	6.614378	-2.783564	-2.890184	-1.852634	-2.492603	5.388712	6.956041	-3.600770	-4.921381	6.794402	0.039301	3.322564	-6.299159	-1.852634	2.653549	-3.725455	-6.878407	7.797259	11.154955	2.253924	4.343081	3.323430	-2.890429	-1.852634	2.653547	5.387450	6.125890	-3.600760	-4.921036	6.794402	0.039301	3.322564	-6.299113
77	6	2.086201	-3.795625	-8.267541	-9.525727	4.372443	5.864136	-5.607130	4.860784	-0.518457	-0.314648	7.256038	7.567234	-14.736288	-15.945428	4.375992	5.864163	-5.608449	4.860880	-0.518457	-0.314648	2.086201	-3.795624	-2.530304	-5.567814	2.400828	1.084759	-1.390127	4.533821	-0.110694	5.497457	2.086201	-3.795625	-2.193059	-4.833860	4.285984	5.052522	-1.020830	1.500051	6.044345	-0.314702	7.256038	7.567234	-8.673019	-11.253871	4.374952	5.167147	-1.057776	1.502597	6.044355	-0.314688	7.256038	7.567234	-9.222895	-12.225741	2.440737	1.152907	-1.512549	4.547216	-0.110694	5.527009
117	6	2.023956	-0.865701	6.021035	6.591126	-0.524284	-13.524801	8.222114	-1.925423	6.508350	1.317064	7.947664	-0.660677	6.021035	6.591126	-0.524284	-13.524801	8.222114	-1.925423	6.508350	1.317064	7.947664	5.496303	0.818268	0.818230	-0.398042	-8.705824	8.210038	-1.896647	6.508350	1.317064	2.023956	5.291680	1.589555	1.090256	-0.482218	-9.842403	8.218311	-1.916855	6.508350	1.317064	7.947664	-0.660677	2.882114	1.364210	-0.512276	-2.094939	2.690980	2.992646	0.219790	1.320166	2.023956	-0.865701	2.882114	1.364210	-0.512276	-2.094939	2.690980	2.992646	0.219790	1.320166
171	6	2.424336	-8.717199	-11.149466	-10.151437	6.675922	8.217917	-6.393191	4.446390	-4.524443	0.336684	7.497362	-2.575555	-11.149845	-10.151437	6.675923	8.217917	-6.393191	4.446390	-4.524427	0.336684	2.424336	-8.717199	1.325116	-1.221026	0.088166	1.429859	4.843142	-1.521825	3.324983	4.252190	7.497362	4.021132	-12.880795	-10.552457	6.677008	8.218394	-6.393191	4.446390	-4.524430	0.336684	7.497362	-2.575555	1.324738	-1.220994	0.088162	1.429895	4.843154	-1.521841	3.325007	4.252360	7.497362	4.021132	-2.527174	-2.591670	1.503361	1.952888	1.545005	2.532118	3.420387	5.904796
279	6	7.669088	6.010651	-14.457893	-9.896009	4.455532	4.489357	-5.925562	5.863532	-0.676484	6.459290	1.378858	-2.326860	-0.440100	4.157763	-3.040495	-3.893786	-0.768602	0.946511	-0.988510	3.976327	1.378858	-2.326860	-8.007651	2.253905	0.279438	-0.911081	-5.925467	4.075791	-0.676485	6.459147	1.378858	-2.326860	-8.844422	-4.061253	2.615955	4.489054	-5.925562	5.857648	-0.676484	6.459290	7.669088	6.010651	-5.857658	-0.271262	1.161880	-3.823095	0.439630	1.278857	5.588827	4.631776	1.378858	-2.326860	-3.120859	4.050321	-1.192002	-3.891921	-5.883444	1.180523	-0.898829	4.153839
317	6	6.665708	1.669064	-4.841260	-9.358996	6.348748	10.382844	-0.603024	8.374488	-5.717409	-1.711224	0.678949	-4.694457	-4.840538	-9.358317	6.348748	10.382843	-0.603024	8.374488	-5.717409	-1.711224	6.665708	7.342756	-10.114198	-14.381030	6.348750	10.384129	-0.603024	8.374488	-5.717409	-1.711223	0.678949	-4.694457	-4.840099	-6.671778	5.814699	4.546609	-0.603023	8.374480	0.096399	4.085575	6.665708	1.669064	-4.840820	-6.672464	5.814698	4.546619	-0.603023	8.374480	0.096401	4.085576	6.665708	7.342756	-10.113776	-11.701557	5.813412	4.556772	-0.603023	8.374480	0.098039	4.086456
325	6	7.026420	3.765041	-10.093250	-11.078876	7.855265	4.552620	-2.762259	5.054441	-3.957042	1.356517	0.540270	-5.275022	-9.501535	-9.181614	7.855265	4.552620	-2.762259	5.054441	-3.957042	1.356517	7.026420	-1.415770	-9.522498	-9.187738	7.855265	4.552620	-2.762259	5.054441	-3.957042	1.356517	0.540270	-5.275022	-4.392451	-7.803948	5.004481	1.187933	1.182691	5.054440	0.636220	7.146020	7.026420	3.765041	-4.984319	-9.701402	5.004878	1.188031	1.182407	5.054440	0.636220	7.146032	7.026420	-1.415770	-4.413425	-7.810086	5.004505	1.187941	1.182673	5.054440	0.636220	7.146021
