2	2	-2.1282	-4.1055	-15.504	-9.6135	-0.76523	-2.7696	-5.3669	-2.2664	-3.7864	-3.0338	-2.1282	-4.1055	-6.1928	-3.0079	-11.376	-17.416	1.0848	-6.8588	-4.7409	-6.0794
3	2	-1.487	-3.3022	-0.38662	-0.14733	-10.646	-17.497	-2.3102	-5.6528	-2.5266	-5.6202	-1.487	-3.3022	-8.244	-10.015	-1.7731	-7.3378	-7.3969	-1.6377	-2.5198	-2.927
4	2	-1.2129	-3.0783	-0.22551	-2.7892	-10.084	-15.586	-3.799	-4.9538	-3.2429	-5.5503	-1.2129	-3.0783	-6.2846	-10.649	-1.3556	-7.2844	-6.325	-0.663	-2.7403	-2.6173
10	2	-3.0297	-3.9204	-7.0651	-5.7219	-7.3821	-15.427	1.1309	-5.1231	-3.7686	-1.7575	-3.0297	-3.9204	-15.343	-12.773	-3.6465	1.4453	-4.8565	0.43923	-3.7674	1.1146
12	2	0.25355	-2.0252	-1.4302	-3.5939	-5.4334	-12.435	2.9265	-0.70836	-4.4106	-3.1026	0.25355	-2.0252	-8.0246	-12.397	-1.4618	-1.191	-1.8592	-1.7263	-3.8389	-1.4799
13	2	-2.8713	-2.3842	-4.7034	-7.1125	-6.5624	-9.4607	-3.1786	-6.3337	-2.6089	-3.491	-2.8713	-2.3842	-11.139	-11.188	-3.5748	-0.98837	-3.3511	-0.73891	-2.527	-2.7736
18	2	0.8774	-3.0232	-11.987	-8.5505	-3.5636	-2.1303	-2.6884	-2.2515	-1.2155	-2.3189	0.8774	-3.0232	-0.61244	-1.9912	-10.834	-16.222	-1.5322	-6.7967	-2.5597	-6.1047
20	2	-0.20169	-2.2518	-11.469	-2.9024	-5.161	-13.382	-7.611	-5.2105	-7.4673	-7.7525	-0.20169	-2.2518	-19.09	-12.12	-0.38321	-6.2496	-6.4294	-0.83204	-3.9477	-2.8171
23	2	-4.5488	-5.0366	-4.6227	0.92331	-14.173	-15.726	-6.4254	-4.8634	-4.5232	-5.347	-4.5488	-5.0366	-10.737	-8.1032	-2.8459	-0.949	-6.9277	0.20319	-3.0248	-4.1936
26	2	-1.8361	-11.013	-1.9614	0.067329	-11.378	-20.674	-2.914	-8.3108	-3.5515	-6.687	-1.8361	-11.013	-12.594	-10.676	-3.2654	-0.95162	-9.0918	-2.409	-3.0691	-5.6735
29	2	-1.303	-2.7028	-12.658	-15.679	-1.7508	-4.1945	-7.5907	-5.0045	-2.8758	-5.3208	-1.303	-2.7028	-2.3915	-3.7105	-11.278	-19.092	-1.4915	-8.6054	-3.7216	-7.6214
30	2	-0.26945	-3.4142	-5.021	-3.3852	-8.8642	-15.699	-3.3446	-5.1998	-2.005	-6.1399	-0.26945	-3.4142	-15.576	-12.4	-3.8662	-1.4535	-4.9272	1.1898	-1.2878	-4.4365
34	2	0.48137	-3.3561	-1.2234	-2.9966	-13.416	-11.846	-0.70669	-4.0886	-2.8899	-0.86854	0.48137	-3.3561	-7.8279	-9.3014	-1.8011	-3.7379	-5.913	2.452	-2.8423	0.17257
42	2	-4.5855	-4.4272	-3.8862	0.31039	-9.6891	-9.2834	-2.3106	-3.6306	-4.213	-6.0859	-4.5855	-4.4272	-8.1238	-9.5378	-4.1948	-1.7426	-8.7025	-0.29129	-4.0475	-3.7056
46	2	-1.9383	-2.1924	-12.375	-7.8655	-1.4487	-3.1162	-2.7542	-3.1914	-3.0116	-3.6892	-1.9383	-2.1924	-0.92581	3.5228	-11.373	-18.771	0.40799	-8.8298	-3.1296	-7.3696
47	2	-2.3972	-0.36729	-16.634	-9.9825	3.9805	-9.1072	-0.79713	-0.87761	-3.0574	-2.8764	-2.3972	-0.36729	-5.193	-1.5999	-4.4025	-19.879	0.12416	-6.0849	-3.0575	-3.613
53	2	-0.32443	-5.0905	-1.2502	1.1453	-6.1367	-14.126	2.4806	-5.7226	-4.5256	-4.0413	-0.32443	-5.0905	-10.768	-8.1787	3.0205	-3.1248	-3.5531	-7.2083	-2.4386	-1.5741
55	2	-3.0654	-3.4661	-11.683	-5.9518	-8.243	-10.956	-3.0191	-7.2094	-6.9878	-2.5795	-3.0654	-3.4661	-16.783	-12.883	-5.2876	-4.6008	-4.7579	-1.7589	-6.9083	-2.0392
57	2	-1.6508	-6.9121	-9.2143	-13.435	-1.7597	-6.8332	-5.4532	-2.3823	-1.6207	-5.9911	-1.6508	-6.9121	1.8871	-2.1033	-11.66	-20.943	0.96054	-7.3377	-1.8988	-9.0787
59	2	-1.6398	-4.1101	-11.798	-14.679	-1.7827	-0.92232	-3.8691	0.25349	-2.6964	-0.42488	-1.6398	-4.1101	-0.8745	-3.7257	-9.1422	-18.365	-2.0348	-5.2124	-4.0936	-3.2263
60	2	-2.4165	-2.1914	-16.981	-14.83	1.0583	-5.2111	-0.29664	0.25884	-3.2208	-3.509	-2.4165	-2.1914	-6.8915	-6.997	-3.4747	-9.3371	1.6746	-1.1974	-3.2472	-3.6459
62	2	-1.6224	-4.0773	-8.36	-5.2887	-6.9414	-10.419	-2.1279	-5.9582	-3.0158	-6.6706	-1.6224	-4.0773	-17.505	-14.031	-3.5511	-6.5583	-8.0405	-1.6827	-2.8699	-2.9344
66	2	-3.5793	-1.6925	-14.913	-9.3382	-4.1514	-8.0545	-4.7333	-3.5086	-4.987	-2.7759	-3.5793	-1.6925	-13.502	-5.7424	-8.5871	-8.9135	-6.7817	-3.8305	-6.4393	-3.423
67	2	-2.8429	-5.9995	-10.399	-13.49	1.3834	0.48301	-6.937	-2.2844	-3.7296	-3.5457	-2.8429	-5.9995	-5.6635	-4.9647	-10.125	-15.852	-6.6127	-8.374	-6.6459	-8.1986
87	2	-0.50254	-2.8155	-13.113	-14.146	-1.8031	-4.6808	-4.0852	-5.8674	-0.34654	-2.0442	-0.50254	-2.8155	-4.0722	-4.6459	-12.71	-20.236	2.2415	-11.51	-2.3395	-7.6772
90	2	-1.5466	2.5988	-9.4823	-10.911	-1.6579	-9.4972	-2.8903	-3.7547	-3.2707	-3.5016	-1.5466	2.5988	-4.9561	-4.9981	-5.438	-25.131	-0.2597	-8.0561	-3.6252	-6.1931
93	2	-2.0169	-2.3381	-1.0113	-2.107	-9.6832	-20.654	0.85198	-5.5382	-4.0629	-3.7352	-2.0169	-2.3381	-10.082	-12.928	-0.78155	-6.7385	-4.4545	-0.59297	-4.0571	-1.5427
