55	5	-3.02	0.97951	-10.576	-3.686	-9.4093	-11.731	-5.2436	-3.6615	-5.002	2.6217	-3.02	0.97951	-17.415	-13.122	-2.9752	-2.7331	-8.5674	2.9155	-5.0008	2.652	1.6077	2.6783	-17.447	-14.077	-2.9752	-2.733	-8.5674	2.9155	-5.0008	2.652	1.6077	2.6783	-11.575	-4.6816	-9.4048	-11.069	-5.2436	-3.6616	-5.0009	2.65	1.6077	2.6783	-10.824	-8.7826	-3.35	-2.8635	-3.4941	2.0717	0.13096	2.652
63	5	1.1416	-0.49295	-18.38	-23.703	-1.7143	-1.34	-6.8634	-1.9698	-13.61	-5.7115	1.1416	-6.7475	-12.741	-17.642	-1.7143	-1.34	-6.8634	-1.9698	-13.61	-5.7115	1.1416	-6.7475	-7.8333	-7.0987	-8.5125	-7.7286	-3.1618	-2.586	-8.1427	-0.29562	1.1416	-6.7475	-2.0151	-5.4152	-15.731	-15.714	-2.9171	-2.5976	-8.1518	-1.812	1.1416	-0.49295	-13.538	-13.327	-7.9527	-7.5955	-3.2648	-2.5729	-8.1427	-0.28758
70	5	-3.5747	-0.002294	-23.552	-20.233	-1.4582	-5.6002	-13.403	2.3335	-5.6886	2.035	-3.5747	-5.4967	-18.411	-17.026	-1.4582	-5.6011	-13.403	2.3335	-5.6886	2.035	-3.5747	-0.002294	-5.9181	-2.7532	-9.1798	-17.968	-1.2628	-5.5189	0.86722	-3.9755	-3.5747	-5.4967	-0.69887	0.45345	-9.4337	-21.561	-1.2591	-5.5206	0.86722	-3.9755	-3.5747	-0.002294	-11.053	-11.96	-1.4582	-10.275	-7.4857	0.12873	0.88493	1.8163
109	5	0.17181	-4.7218	-12.151	-14.133	-0.090872	-1.4807	-10.606	2.0015	-7.9839	-6.517	0.17181	1.2819	-17.778	-20.293	-0.082658	-1.4751	-10.607	2.0015	-7.9839	-6.517	-6.3689	-7.7692	-2.4765	-3.2763	-9.2259	-17.642	-5.2864	-3.9576	-8.4732	-8.8316	-6.3689	-7.7692	-12.15	-14.118	-0.090958	-1.4807	-10.606	2.0015	-7.9839	-6.517	0.17181	-4.7218	-2.4796	-3.2912	-9.216	-17.632	-5.291	-3.9576	-8.4732	-8.8316
119	5	-7.8897	-5.7559	-12.791	-18.324	-1.5462	-0.86541	-9.5927	-1.564	-12.519	-3.2893	-7.8897	0.34139	-14.653	-23.522	-1.5462	-0.86541	-9.5927	-1.564	-12.519	-3.2893	-7.8897	0.34139	-10.219	-22.865	-4.1243	-4.2573	-9.5876	-1.8227	-6.0251	1.7469	-7.8897	-5.7559	-8.3566	-17.666	-4.1243	-4.2576	-9.5876	-1.8227	-6.0251	1.7469	-7.8897	0.34139	-0.42095	-12.235	-10.056	-11.105	-5.8517	-5.2905	-6.0256	0.12363
131	5	2.3746	-4.0742	-13.778	-17.511	-1.2545	-0.55048	-13.951	2.818	-9.3121	-6.3097	-3.0014	-7.8828	-13.769	-17.476	-1.2545	-0.55053	-13.951	2.818	-9.3121	-6.3097	-3.0014	-7.8828	-13.124	-15.138	-2.992	-3.9366	-13.948	2.6421	-6.0552	-1.02	2.3746	0.59275	-18.898	-22.371	-1.2545	-0.54262	-13.951	2.818	-9.3121	-6.3097	2.3746	-4.0742	-13.133	-15.173	-2.992	-3.9365	-13.948	2.6421	-6.0552	-1.02
147	5	2.613	-4.0562	-14.964	-15.205	1.0121	-3.2083	-9.0305	-3.9355	-2.573	-6.6624	2.613	-4.0562	-4.4706	-5.212	-10.244	-17.178	-3.1738	-10.142	-2.621	-12.662	2.613	2.3362	-23.423	-21.834	1.005	1.7262	-11.5	-0.8905	-8.4377	-6.6413	2.613	-4.0562	-16.87	-18.744	1.005	1.7262	-11.5	-0.8905	-8.4377	-6.6413	2.613	2.3362	-21.516	-18.295	1.0121	-3.2083	-9.0305	-3.9355	-2.573	-6.6624
169	5	-6.5347	-6.149	-2.476	-2.8369	-13.028	-20.723	-0.02956	-8.57	-0.71814	-10.29	-0.34259	1.8034	-9.2464	-5.2093	-6.4707	-14.573	-0.033658	-8.3122	-0.71814	-10.29	-0.34259	1.8034	-13.602	-10.83	-1.2036	-7.1606	-4.1592	-4.2481	2.1445	-4.2687	-6.5347	-1.2805	-6.5536	-3.6736	-6.9953	-20.349	-0.030024	-8.4775	-0.71814	-10.29	-6.5347	-1.2805	-11.269	-9.4011	-1.2051	-7.3738	-4.1592	-4.2481	2.1445	-4.2687
175	5	-4.9399	-7.0445	-3.556	-4.1184	-11.759	-13.468	-5.3772	-7.4257	-11.974	-11.256	-4.9399	-1.2493	-15.809	-13.628	-2.7217	-2.6156	-8.9807	-1.6583	-11.974	-6.8365	0.36214	2.9074	-19.675	-19.832	-2.7217	-2.6156	-8.9807	-1.6583	-11.974	-6.8365	-4.9399	-7.0445	-15.665	-13.321	-2.7217	-2.6156	-8.9807	-1.6583	-11.974	-6.8365	-4.9399	-1.2493	-3.6992	-4.4476	-11.389	-13.132	-5.3927	-7.3456	-11.974	-10.875
204	5	-6.6818	-11.447	-9.3682	-8.71	-8.2656	-6.369	-4.5743	-5.0534	-2.0151	-6.1381	-1.1381	0.66917	-22.694	-14.683	-2.3624	-1.4846	-7.2334	0.11613	-1.8708	-5.539	-1.1381	0.66917	-22.708	-14.698	-2.3622	-0.85501	-7.2382	1.916	-8.24	-5.539	-6.6818	-11.447	-17.125	-11.187	-2.5986	-1.9737	-7.0725	0.11613	-1.8708	-5.539	-6.6818	-11.447	-17.14	-11.204	-2.596	-1.3397	-7.079	1.916	-8.24	-5.539
