1	2	47	2.589218	2.187275	-3.113244	-11.343834	4.327096	5.472064	0.736275	7.780350	1.725167	4.293821
1	2	53	2.589218	2.187275	3.739267	0.299215	-3.649746	-7.322187	2.283539	1.434819	0.750619	0.782433
2	2	64	4.996134	2.659347	1.229737	-7.100702	3.167916	4.132823	-0.507786	4.449530	2.588406	1.771867
2	2	36	4.996134	2.659347	3.119331	3.015882	-4.765424	-10.437387	4.952217	0.627953	2.576875	-0.290798
3	1	100	5.676531	2.939075	-4.461491	1.335220	1.042783	7.308429	3.362435	5.889803	3.168297	2.161862
4	3	35	2.380522	0.716141	-7.061386	-6.495973	5.366046	5.650215	-0.522391	2.144862	3.462628	2.008439
4	3	25	2.380522	0.716141	3.585666	3.687718	-5.537372	-12.790302	5.300539	-3.959655	3.106952	-3.564909
4	3	40	2.380522	0.716141	3.552782	-2.347882	0.130913	-6.903832	4.654633	0.580855	3.106952	-3.564909
5	2	51	3.454483	-0.049445	6.194049	6.389404	-3.406865	-3.954194	4.152097	-2.083464	4.192290	2.091861
5	2	49	3.454483	-0.049445	-4.134272	-1.221120	5.199356	8.714126	-1.038298	4.460602	4.300967	4.121242
6	1	100	6.038347	4.158354	3.802976	0.731119	-4.166301	-2.426587	0.860976	0.667658	-0.091241	0.937870
7	2	76	5.880535	3.744951	-2.393722	1.711616	-2.304487	1.094682	-0.911976	3.516238	3.420349	4.849245
7	2	24	5.880535	3.744951	-10.666386	-5.014076	3.628677	5.608912	-1.468588	6.297882	3.424879	4.903370
8	1	100	2.447434	3.444396	5.594655	4.340481	-5.817886	-8.198232	5.705728	-4.722015	3.526323	1.848667
9	1	100	5.708944	4.483156	0.472735	1.698579	-11.284592	-0.011013	1.987860	-0.705860	3.973792	2.374226
10	1	100	3.543174	-1.530895	7.219451	2.124695	-8.140973	-5.811066	3.907508	-5.943818	3.181175	-0.691276
11	1	100	4.176591	-0.115964	7.653395	6.247550	-8.700215	-10.146242	5.839670	-6.957795	6.150443	1.027301
12	1	100	4.479866	1.931161	3.922574	6.126770	-7.738317	-2.370393	6.919006	3.183107	4.184667	1.829581
13	1	100	4.892794	5.627723	-6.247180	-12.147388	4.218566	4.738902	0.251874	3.515245	3.307721	3.191312
