166	8	1.074541	1.009473	4.993694	6.328090	-5.272395	-13.410644	4.433851	0.976480	1.101097	0.197486	1.074541	1.009473	-0.563299	-0.349871	2.943843	-0.605578	1.252708	6.571120	3.777973	3.015495	1.074541	1.009473	-0.613330	-0.128509	3.735699	0.023750	0.233515	6.885634	1.426959	2.251328	1.074541	1.009473	-0.659634	-0.138507	3.747306	0.118915	0.213428	6.897124	1.469198	2.373352	1.074541	1.009473	-1.003223	-0.348143	3.090683	0.051354	0.734664	6.818997	3.609577	3.322448	1.074541	1.009473	-0.117053	-0.198006	3.658747	-1.796770	1.202741	6.306419	2.670925	1.867675	1.074541	1.009473	-0.255094	-0.285805	3.335751	-1.277766	1.383976	6.356820	3.402097	2.514635	1.074541	1.009473	-0.136237	-0.217182	3.621191	-1.719409	1.262803	6.286715	2.844088	2.008120
404	8	5.589521	4.463145	-9.052643	-7.711859	3.918834	7.217581	2.612117	0.932631	4.746123	4.617318	5.589521	4.463145	1.034964	3.571238	-0.797408	-0.951376	3.436610	-2.304320	4.731812	4.047516	5.589521	4.463145	-0.532809	3.559684	1.072366	0.289647	3.720406	0.501780	4.576170	4.426965	5.589521	4.463145	-0.684848	3.472011	0.585156	0.469662	3.514332	0.201537	4.701116	4.574573	5.589521	4.463145	1.251546	3.673879	-0.379569	-2.860109	4.197863	-2.697564	4.614089	2.407484	5.589521	4.463145	0.712984	3.676256	0.283382	-2.805532	3.991345	-1.252745	4.527522	1.918144	5.589521	4.463145	1.156564	3.587706	-0.894970	-1.174865	3.576610	-2.561718	4.726276	3.870692	5.589521	4.463145	1.074629	3.679480	-0.137696	-3.056067	4.121357	-2.170487	4.579162	2.180146
487	8	5.164154	4.547055	4.670661	-7.595706	-0.731855	0.424825	5.258274	2.604157	1.406217	3.768271	5.164154	4.547055	4.662587	-7.630959	-0.911341	0.277923	5.280957	1.987925	1.449064	3.751479	5.164154	4.547055	4.595299	-7.702859	-0.805626	0.616012	5.259888	2.903570	1.510976	3.961018	5.164154	4.547055	4.556136	-7.768570	-0.969623	0.630622	5.277998	2.523819	1.556590	4.013211	5.164154	4.547055	4.648231	-7.624000	-0.718349	0.510728	5.252938	2.830173	1.431520	3.837133	5.164154	4.547055	4.551514	-7.783956	-1.060542	0.574044	5.287542	2.177843	1.559305	3.996784	5.164154	4.547055	4.604438	-7.724347	-1.053439	0.369044	5.290659	1.856267	1.514400	3.868240	5.164154	4.547055	4.679721	-7.589291	-0.778852	0.347754	5.266340	2.358124	1.406992	3.731426
1191	8	2.977658	-0.196097	2.401782	2.319657	-2.953878	-10.032615	4.829212	4.046765	2.490057	0.171141	2.977658	-0.196097	-1.555270	-6.825482	4.828137	-0.085046	1.905810	8.482881	3.382296	2.318562	2.977658	-0.196097	-0.024289	-3.422471	4.951828	-2.608184	1.881002	8.453118	3.077791	0.457335	2.977658	-0.196097	-0.535726	-6.842301	5.002101	-0.934120	1.937113	8.469174	3.320803	1.772199	2.977658	-0.196097	-1.988524	-6.768592	4.776639	0.244738	1.879967	8.490244	3.398876	2.511206	2.977658	-0.196097	-1.111918	-3.105467	5.544465	-2.250252	1.670123	8.487148	2.775540	0.191412	2.977658	-0.196097	-1.731869	-4.443721	5.624142	-0.897368	1.563904	8.519145	2.651634	0.321251	2.977658	-0.196097	-1.770106	-6.799933	4.800961	0.080225	1.894692	8.486252	3.391227	2.414894
1283	8	5.427109	4.496533	-9.995060	-8.335641	7.653094	10.310679	2.284782	5.062560	3.934496	2.972910	5.427109	4.496533	0.665703	2.981531	0.950796	-5.957118	5.472054	1.488921	3.177451	0.315259	5.427109	4.496533	0.336185	2.533917	0.949513	-5.803394	5.498899	1.607634	2.851220	-0.225246	5.427109	4.496533	0.685368	3.330593	1.046891	-5.112676	5.398908	1.562501	3.562202	1.130822	5.427109	4.496533	0.118000	3.344342	1.288184	-3.090830	5.262487	2.196286	3.871835	2.536305	5.427109	4.496533	-0.108612	3.112205	1.350520	-2.553182	5.256495	2.418855	3.821239	2.514457	5.427109	4.496533	0.582319	3.414151	1.110695	-4.561536	5.357413	1.681418	3.713224	1.584090	5.427109	4.496533	0.712236	3.134689	0.978756	-5.715901	5.448203	1.492290	3.323247	0.592471
1984	8	4.485228	1.154140	6.110452	3.593370	-2.309272	-3.800917	4.146317	2.636358	3.212213	1.046661	4.485228	1.154140	6.062728	3.536087	-2.188106	-3.392149	3.664096	2.692598	3.116698	1.136324	4.485228	1.154140	6.111462	3.608123	-2.261521	-4.060126	4.062749	2.637735	3.143312	0.808609	4.485228	1.154140	6.093637	3.597252	-2.172482	-4.088835	3.834241	2.660123	3.076753	0.640365	4.485228	1.154140	6.091613	3.560466	-2.290801	-3.515916	4.009461	2.660435	3.223957	1.217463	4.485228	1.154140	6.082777	3.586131	-2.138713	-3.984984	3.732672	2.671463	3.058883	0.637911	4.485228	1.154140	6.103599	3.605214	-2.214109	-4.121851	3.945841	2.648516	3.103396	0.695257	4.485228	1.154140	6.075331	3.542104	-2.245706	-3.399953	3.830028	2.679973	3.180036	1.227877
2824	8	5.523909	2.172703	2.005626	5.123048	-5.916651	-14.553697	4.660763	-1.516162	-0.633395	1.339455	5.523909	2.172703	-0.683060	-1.290383	5.707726	-0.942202	-0.429969	3.095490	1.860668	3.382409	5.523909	2.172703	-0.571268	-1.284379	5.615854	-1.837769	-0.425901	2.541575	1.881436	3.254703	5.523909	2.172703	-0.666112	-1.289494	5.674967	-1.072491	-0.429259	2.962603	1.894194	3.389341	5.523909	2.172703	-0.541019	-1.283233	5.640303	-2.171376	-0.425366	2.516207	1.822303	3.152820	5.523909	2.172703	-0.651926	-1.288461	5.814516	-0.771470	-0.429919	3.421500	1.492593	2.976642	5.523909	2.172703	-0.524869	-1.283176	5.690610	-2.437294	-0.425704	2.628752	1.723927	3.017082	5.523909	2.172703	-0.624811	-1.287159	5.627465	-1.381592	-0.427618	2.728670	1.916214	3.357023
3339	8	5.125093	4.605169	-6.432079	-7.101984	4.241598	4.967143	-0.458189	5.483286	4.069842	3.321880	5.125093	4.605169	3.010018	-0.613698	0.567632	-0.800455	-0.507009	2.030194	2.367193	2.064415	5.125093	4.605169	3.357417	-0.155683	0.329956	-2.575380	-0.378804	1.540043	2.179585	1.469055	5.125093	4.605169	3.037262	-0.529846	0.517806	-0.790426	-0.436881	2.015829	2.658261	2.250175	5.125093	4.605169	3.043449	-0.601293	0.556841	-1.029995	-0.587391	1.935790	2.029266	1.649253	5.125093	4.605169	3.248007	-0.411907	0.429383	-1.900579	-0.538013	1.645689	1.938410	1.402786	5.125093	4.605169	3.261921	-0.064039	0.347309	-1.912914	-0.331424	1.674361	2.625620	1.739736	5.125093	4.605169	3.170439	-0.177125	0.389734	-1.340349	-0.351029	1.809815	2.806552	2.008428
3760	8	3.317923	-0.098008	1.556945	1.154731	-2.835882	0.136627	2.165395	-0.910715	1.061228	2.090779	3.317923	-0.098008	1.459347	0.413391	-2.136540	1.159670	1.600563	-0.904945	1.178237	2.840113	3.317923	-0.098008	1.572484	0.808057	-2.748408	0.922062	2.063949	-0.909616	1.743411	2.996504	3.317923	-0.098008	1.615509	1.211829	-3.115127	0.535396	2.333209	-0.911387	1.731463	2.763092	3.317923	-0.098008	1.622163	1.363995	-3.232101	0.194194	2.403033	-0.911599	1.530839	2.449131	3.317923	-0.098008	1.448228	0.621362	-2.139223	0.907747	1.678781	-0.906855	0.869182	2.466280	3.317923	-0.098008	1.483830	0.851605	-2.410786	0.555253	1.871368	-0.909311	0.847407	2.192596	3.317923	-0.098008	1.515911	0.478149	-2.407604	1.140843	1.772372	-0.907053	1.551553	3.028295
4404	8	5.102617	3.119878	-7.169172	1.616324	2.253789	-5.424552	1.622340	5.429985	2.101490	-0.822030	5.102617	3.119878	-11.347626	-4.975515	5.316859	3.198122	-0.232895	4.667389	4.217916	3.302706	5.102617	3.119878	-7.657895	1.790051	2.364357	-4.437956	1.317842	5.375949	2.386935	-0.317658	5.102617	3.119878	-7.847858	1.612796	2.473022	-4.428345	1.107539	5.401650	2.281111	-0.417481	5.102617	3.119878	-6.033483	1.803179	1.966032	-5.967450	2.207164	5.425895	2.097911	-0.857100	5.102617	3.119878	-7.292848	1.952005	2.206313	-4.640266	1.639632	5.361051	2.412910	-0.379275	5.102617	3.119878	-5.706071	2.089288	1.807414	-5.572989	2.432914	5.387876	2.227803	-0.750498	5.102617	3.119878	-6.416753	2.092928	1.951862	-5.137508	2.149535	5.367007	2.330892	-0.601026
4679	8	5.275447	4.406112	1.586397	-2.483178	0.123397	-2.550048	4.492376	0.913586	2.978578	1.944480	5.275447	4.406112	1.895275	-2.165299	-0.252841	-2.874080	4.632547	-0.196091	3.166518	1.998344	5.275447	4.406112	-8.923084	-13.499877	3.387391	7.293591	0.409734	4.022955	3.548645	3.266760	5.275447	4.406112	2.084415	-2.521496	0.015833	-3.477325	4.590267	0.179423	2.705202	1.725735	5.275447	4.406112	2.248515	-2.396747	-0.182204	-3.527725	4.665322	-0.565530	2.738116	1.735155	5.275447	4.406112	1.608401	-2.316949	-0.011378	-2.513265	4.532600	0.624853	3.225311	2.130939	5.275447	4.406112	1.888024	-2.560422	0.107406	-3.235903	4.535681	0.620883	2.711920	1.733122	5.275447	4.406112	2.146665	-2.197977	-0.337574	-3.248722	4.684610	-0.768819	2.926233	1.816910
5317	8	4.136146	3.059945	-7.600286	-4.828352	6.997944	-0.349516	-0.679960	4.205508	2.386677	1.360755	4.136146	3.059945	-7.388521	-4.468727	6.966745	-0.792006	-0.448235	4.187907	2.550967	1.320853	4.136146	3.059945	-7.545380	-4.588338	6.951068	-0.265487	-0.468712	4.203551	2.714135	1.975873	4.136146	3.059945	-7.723990	-4.960144	6.992583	-0.114451	-0.723799	4.216845	2.479594	1.772966	4.136146	3.059945	-7.441892	-4.577666	6.979176	-0.693226	-0.515437	4.191985	2.477130	1.243469	4.136146	3.059945	-7.362915	-4.381917	6.952015	-0.754556	-0.395623	4.186943	2.646029	1.510623	4.136146	3.059945	-7.703491	-4.884221	6.978136	-0.090458	-0.641956	4.215737	2.582414	1.943073	4.136146	3.059945	-7.640371	-4.752404	6.963910	-0.140471	-0.552901	4.210959	2.660541	2.006141
5422	8	6.486834	4.177097	-4.946169	-1.136058	2.946971	9.352776	-0.270313	5.508321	3.520219	1.938274	6.486834	4.177097	-1.684481	0.379713	-2.161406	6.537038	1.386288	4.961411	3.520219	1.938274	6.486834	4.177097	-1.679941	4.332651	-3.018983	0.775787	2.907367	2.658773	3.281896	1.720002	6.486834	4.177097	-1.681575	4.412100	-2.833351	0.888186	2.790552	3.050984	3.201054	1.663260	6.486834	4.177097	-1.680675	4.430599	-2.849769	0.648450	2.881658	2.879838	3.212041	1.601308	6.486834	4.177097	3.551305	4.715288	-9.086803	-4.650590	3.488536	1.915581	3.038550	1.480114	6.486834	4.177097	-1.681052	4.333502	-2.955060	0.975732	2.804999	2.888382	3.253103	1.758915	6.486834	4.177097	-1.679753	4.397927	-2.941800	0.574438	2.953246	2.656318	3.250897	1.620615
5648	8	3.498925	1.355976	-4.380038	-9.195927	8.549829	2.402761	-2.306438	1.490995	2.082307	2.703795	3.498925	1.355976	-4.353306	-9.028596	8.549907	2.170618	-2.304306	1.471119	2.009473	2.540730	3.498925	1.355976	-4.274678	-8.281931	8.545547	1.427288	-2.057083	0.853061	2.468998	2.491924	3.498925	1.355976	-4.315034	-8.816032	8.549514	1.837206	-2.275945	1.364544	2.000315	2.284955	3.498925	1.355976	-4.377783	-9.118807	8.546365	2.259152	-2.172312	1.160557	2.427956	2.904967	3.498925	1.355976	-4.396742	-9.317976	8.548235	2.490263	-2.247848	1.344081	2.293771	2.869430	3.498925	1.355976	-4.311450	-8.470558	8.544488	1.669566	-2.057410	0.888922	2.536123	2.760765	3.498925	1.355976	-4.258680	-8.397317	8.547566	1.365061	-2.142319	0.996135	2.257816	2.148079
5838	8	3.696337	3.214315	2.430763	2.618301	-4.564159	-8.735735	2.933472	1.492967	-1.990600	1.835118	3.696337	3.214315	-6.537877	-3.169432	3.733973	4.107223	1.666329	5.588724	3.345175	4.660348	3.696337	3.214315	-1.873999	3.260961	0.702634	-1.461366	2.653726	4.390390	-0.069597	2.547880	3.696337	3.214315	-1.627180	4.451960	0.350313	-1.339512	3.971397	4.178931	2.378143	3.267580	3.696337	3.214315	-1.610751	4.419734	0.252459	-1.032766	3.969974	4.182868	2.708671	3.445631	3.696337	3.214315	-1.714133	4.226828	0.505525	-1.541437	3.732892	4.235273	1.688909	3.008344	3.696337	3.214315	-2.170683	1.370988	0.637658	1.174075	2.165541	4.466610	2.667882	4.019718	3.696337	3.214315	-1.841231	3.530163	0.667836	-1.514710	2.980922	4.355951	0.381933	2.655615
6116	8	3.715362	3.119966	-2.728675	4.291458	-3.116241	-2.065515	3.201721	0.877486	-0.052513	2.558466	3.715362	3.119966	-1.740861	4.380288	-3.093813	-3.993478	3.614295	0.875366	0.081696	1.974106	3.715362	3.119966	-1.612331	4.313259	-3.195547	-2.523849	3.610299	0.874721	0.375794	2.522614	3.715362	3.119966	-1.993817	4.278992	-3.207379	-2.038149	3.471236	0.875781	0.356998	2.658851	3.715362	3.119966	-2.302783	4.350469	-3.047389	-3.494011	3.352203	0.876991	-0.130236	1.978252	3.715362	3.119966	-2.569597	4.322481	-3.064931	-2.664695	3.246514	0.877382	-0.149675	2.301940	3.715362	3.119966	-1.487402	4.351031	-3.160435	-3.093897	3.679460	0.874367	0.294768	2.322810	3.715362	3.119966	-2.005962	4.373218	-3.062563	-4.142236	3.495652	0.876257	-0.040003	1.851861
6216	8	4.233796	2.145456	-7.869300	-8.532241	7.871168	9.076759	-3.850266	3.573687	2.987420	1.164398	4.233796	2.145456	1.310657	3.131925	-2.755352	-6.435997	1.623977	-0.039449	2.518649	-0.231433	4.233796	2.145456	1.294946	3.335897	-2.509480	-3.666542	2.126949	-0.223503	2.882133	0.912073	4.233796	2.145456	0.911808	2.914269	-2.556026	-1.975734	1.233051	0.193335	2.705531	0.719356	4.233796	2.145456	1.436674	3.283377	-2.719863	-7.046938	1.941409	-0.213275	2.619902	0.048218	4.233796	2.145456	1.519350	3.443494	-2.613461	-5.678798	2.286253	-0.408004	2.807300	0.585309	4.233796	2.145456	1.087611	2.894580	-2.750930	-3.953974	1.122436	0.183930	2.419566	-0.261426	4.233796	2.145456	1.013585	3.075030	-2.506979	-2.320381	1.609719	0.061790	2.802553	0.846599
6354	8	3.400514	1.039124	-1.066945	5.151503	-1.634932	-3.810903	2.465336	-0.905259	1.342506	2.196133	3.400514	1.039124	-0.605043	5.255243	-1.683925	-4.045882	2.534266	-0.916552	1.383795	2.140364	3.400514	1.039124	-0.624490	5.300186	-1.769475	-4.360197	2.555033	-0.926250	1.251537	1.944790	3.400514	1.039124	-1.699486	5.051230	-1.632965	-3.688128	2.386997	-0.897042	1.127100	2.090410	3.400514	1.039124	-1.602920	5.105264	-1.654438	-3.811956	2.412227	-0.904347	0.992831	1.874085	3.400514	1.039124	-1.140024	5.218515	-1.705723	-4.149018	2.489764	-0.918229	1.061335	1.802632	3.400514	1.039124	-1.298885	5.109950	-1.630787	-3.754840	2.435541	-0.901473	1.291741	2.186642	3.400514	1.039124	-1.390738	5.161707	-1.675585	-3.964146	2.449488	-0.911221	1.007519	1.810936
7935	8	5.816136	4.400234	0.585000	-2.516505	-5.618565	-1.944916	5.272499	2.059627	0.490426	2.015079	5.816136	4.400234	1.209441	-2.594372	-5.816781	-2.139067	5.276034	2.080153	0.734193	2.609318	5.816136	4.400234	0.317208	-2.578204	-5.487369	-0.685520	5.269852	2.085691	0.819372	3.408112	5.816136	4.400234	0.934315	-2.609723	-5.655644	-1.272717	5.273333	2.090747	0.881148	3.183738	5.816136	4.400234	1.105574	-2.567776	-5.835824	-2.512470	5.275879	2.069777	0.633216	2.345006	5.816136	4.400234	0.210491	-2.552949	-5.436551	-0.631939	5.269534	2.078511	0.627445	3.061173	5.816136	4.400234	1.172584	-2.606888	-5.762511	-1.784664	5.275329	2.086354	0.808668	2.844828	5.816136	4.400234	0.263764	-2.538579	-5.436151	-0.791829	5.269950	2.073450	0.518367	2.534944
7974	8	4.664052	1.874725	-0.508452	0.112312	4.624920	-2.097753	-1.761039	0.987193	3.469809	1.564551	4.664052	1.874725	6.335458	4.695033	-3.622711	-9.435844	1.281893	-1.974638	2.435234	0.756557	4.664052	1.874725	-0.199784	4.750935	0.032324	-3.458311	-4.069181	0.307269	2.478401	0.793033	4.664052	1.874725	-6.077236	-3.105494	8.014829	2.536592	-0.404038	0.178602	4.388107	3.496318	4.664052	1.874725	-0.310570	0.113811	4.315589	-2.429775	-1.646039	0.933569	3.332575	1.346575	4.664052	1.874725	-0.422691	0.133403	4.553103	-2.259828	-1.685898	0.938389	3.454216	1.505951	4.664052	1.874725	-0.310999	-0.076915	4.125640	-1.940558	-1.966067	1.210797	3.113798	1.245020	4.664052	1.874725	-0.502914	-0.134266	4.250141	-1.522060	-2.134081	1.304792	3.144063	1.406940
8907	8	7.229196	5.568759	-6.387472	-11.386614	4.980866	7.990155	-1.168465	8.849878	3.100713	2.238189	7.229196	5.568759	2.190044	0.091358	-2.316774	0.833257	1.615665	6.477909	2.740854	2.067713	7.229196	5.568759	2.970362	0.517779	-2.441650	0.127894	1.849620	6.445230	2.735007	1.709311	7.229196	5.568759	2.181329	0.201518	-2.330643	0.427621	1.665528	6.466701	2.389982	1.733773	7.229196	5.568759	2.449597	0.107973	-2.327440	0.839427	1.652832	6.474987	2.881168	2.111085	7.229196	5.568759	2.814801	0.276735	-2.370411	0.630327	1.784065	6.461540	2.935722	2.053605	7.229196	5.568759	2.943869	0.419482	-2.411006	0.395923	1.842892	6.452121	2.878563	1.926367	7.229196	5.568759	2.507733	0.361040	-2.382422	0.094195	1.733049	6.453587	2.357741	1.477252
8993	8	6.277355	4.503025	-6.767525	-5.502358	4.339338	9.308258	0.897604	6.049561	3.740088	3.670892	6.277355	4.503025	1.150546	-0.358633	0.134360	0.284443	6.971001	4.324547	3.275215	3.022258	6.277355	4.503025	0.576913	-0.311931	0.340960	0.378898	6.940890	4.382393	3.088706	2.928621	6.277355	4.503025	1.248138	-0.343276	0.061862	0.114425	6.985811	4.063395	3.203896	2.877165	6.277355	4.503025	0.979948	-0.290899	0.122086	-0.043099	6.978325	3.834794	3.039537	2.601247	6.277355	4.503025	0.707165	-0.334254	0.307364	0.422322	6.944552	4.467065	3.194824	3.040581	6.277355	4.503025	0.564275	-0.295137	0.329446	0.295444	6.943407	4.265686	3.020401	2.795239	6.277355	4.503025	1.064925	-0.357531	0.174293	0.334814	6.964171	4.392666	3.279573	3.051413
9189	8	4.378594	1.056643	-5.586722	-7.582183	6.049877	8.362231	-1.941106	7.901997	3.214490	4.265988	4.378594	1.056643	6.554674	1.842558	0.608929	-0.482202	-1.433485	4.772959	1.028350	0.826705	4.378594	1.056643	3.988809	1.949368	0.573265	0.175241	-2.037325	4.657112	-1.859588	-0.313683	4.378594	1.056643	4.713627	2.016144	0.551523	-0.224185	-1.931172	4.682867	-1.529388	-0.430757	4.378594	1.056643	6.537055	1.882013	0.594613	-0.546772	-1.498124	4.766492	0.653363	0.553257	4.378594	1.056643	5.191260	2.013783	0.549216	-0.418604	-1.853535	4.703216	-1.190311	-0.358710	4.378594	1.056643	4.272908	1.988912	0.561612	0.004470	-1.996342	4.666034	-1.755057	-0.409304	4.378594	1.056643	4.154502	1.974836	0.565910	0.073471	-2.013403	4.662077	-1.802407	-0.380388
9440	8	5.960389	3.287530	-5.685762	-2.548089	5.549655	1.737365	0.952523	-0.373851	5.376432	3.292793	5.960389	3.287530	3.633169	5.185268	-1.035283	-7.758100	5.297034	0.835368	1.633931	-0.390234	5.960389	3.287530	-1.080965	1.814589	2.428789	-2.217169	5.155699	-0.107640	4.299355	2.100275	5.960389	3.287530	-0.204014	2.812777	2.130635	-3.166429	5.047043	0.049387	3.655463	1.601271	5.960389	3.287530	-0.510193	2.324600	2.305948	-2.727078	5.069222	-0.154671	3.949273	1.835828	5.960389	3.287530	-0.435012	4.167250	1.381572	-1.226248	5.204317	3.627706	2.546136	1.628487	5.960389	3.287530	0.055205	3.662766	1.781750	-3.581202	5.095820	1.299007	3.170596	1.207443	5.960389	3.287530	-0.165446	4.290246	1.399371	-1.771785	5.194619	3.343898	2.629343	1.371867
