2	1	6.804311	6.046689	-7.444587	-7.278293	0.381726	1.311760	-3.262728	6.200291	-1.232506	6.974791
3	1	1.539973	-3.596378	2.934840	2.051249	-2.308608	-2.552093	3.703392	7.015645	-6.559566	-4.658172
6	1	8.604514	8.081021	-6.884125	-7.722833	6.450891	-0.394842	0.255324	2.401543	5.657982	4.427360
19	1	0.732615	-6.646493	-1.458717	-10.521463	7.704119	7.046954	3.459470	3.064964	-4.652534	-0.539072
20	1	1.606894	4.132501	0.610710	3.704361	-1.577561	-8.641899	6.988755	-3.115449	2.325177	-1.383485
21	1	2.457271	-2.076985	3.755482	6.137121	-6.765432	-0.383501	-3.513174	2.490275	-1.947011	4.242526
32	1	3.556389	5.116079	-3.911055	-3.845215	0.466863	2.273274	6.832487	-0.936464	6.721044	3.338183
33	1	7.147022	2.033434	5.951021	9.132609	-6.326219	-9.155033	8.954942	1.168359	6.429546	2.141036
37	1	1.184791	-2.523884	6.003120	1.019579	-3.705918	-1.652797	-0.576055	4.793100	1.046655	4.245170
39	1	7.034820	8.179274	-4.387871	4.738210	0.271450	0.326576	7.580247	4.750984	4.662357	4.380171
52	1	8.322865	-2.240898	-5.746388	-6.649789	8.761222	9.215024	-3.833131	4.672242	-2.922175	1.669884
53	1	-0.812288	-5.351916	2.305476	5.639791	-3.786279	0.708602	5.465331	4.818422	-3.258069	-1.006016
56	1	-1.762099	-7.773096	2.562210	1.307321	-3.094449	-7.836803	-0.845988	1.399834	-0.910107	0.483766
59	1	-3.164985	-3.109240	2.265483	4.832563	-4.297549	-5.363758	1.707017	0.984483	3.023578	-1.263042
62	1	-0.848148	-0.663753	-9.689035	-7.029057	2.518614	4.806678	-7.882163	0.325154	-0.569618	7.776933
65	1	-0.149006	-5.701952	-10.652997	-10.905929	6.224922	9.099366	-1.168538	5.704809	-6.088531	-1.421551
68	1	3.841690	-0.809244	-11.289390	-13.457184	6.387578	12.256758	-6.017627	5.959678	-3.263569	-0.309235
73	1	8.406108	5.423736	-9.973057	-10.047172	1.188845	4.378410	-1.337722	5.313080	-2.677413	7.075191
76	1	-2.462382	-4.724595	6.524172	5.446258	-7.703779	-12.261025	4.271731	-0.714877	7.902370	3.695088
81	1	4.175368	-1.668845	2.001639	2.774738	-8.561850	-2.154584	3.198495	2.396401	0.425429	4.048622
